"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Leptorhynchoides thecatus","acanthocephalan",2,4,3,1,"no","1larv","int","yes",2.15,0.45,0.341942725389164,"1st","incomplete"
"Leptorhynchoides thecatus","acanthocephalan",2,4,3,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Leptorhynchoides thecatus","acanthocephalan",2,4,3,3,"no","adult","def","yes",14.12,0.76,7.36721070185667,"3rd","incomplete"
"Libyostrongylus douglassii","nematode",1,1,1,0,NA,"free larva",NA,"no",0.87433,NA,NA,"propagule","all missing"
"Libyostrongylus douglassii","nematode",1,1,1,1,"no","adult","def","no",5.09833333333333,NA,NA,"1st","all missing"
"Liga facile","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Liga facile","cestode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Liga facile","cestode",2,2,2,2,"no","adult","def","no",3.5,0.32,1.12,"2nd","incomplete"
"Ligula intestinalis","cestode",3,3,3,0,NA,"free larva",NA,"no",NA,NA,NA,"propagule","incomplete"
"Ligula intestinalis","cestode",3,3,3,1,"no","1larv","int","no",0.265833333333333,0.0875,0.00126029407163424,"1st","incomplete"
"Ligula intestinalis","cestode",3,3,3,2,"no","2larv","int","no",212.15037037,6.094,1105.81554,"2nd","incomplete"
"Ligula intestinalis","cestode",3,3,3,3,"no","adult","def","no",244.85295238,7.078,2060.2721847562,"3rd","incomplete"
"Lineolepis scutigera","cestode",2,2,2,0,NA,"embryo",NA,"no",0.021,0.016,0.000175929188601028,"propagule","complete"
"Lineolepis scutigera","cestode",2,2,2,1,"no","1larv","int","no",0.099,0.0796666666666667,0.00429141556480366,"1st","complete"
"Lineolepis scutigera","cestode",2,2,2,2,"no","adult","def","no",16.225,0.196625,2.616125,"2nd","complete"
"Lueheia inscripta","acanthocephalan",2,3,2.5,0,NA,"embryo",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Lueheia inscripta","acanthocephalan",2,3,2.5,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Lueheia inscripta","acanthocephalan",2,3,2.5,2,"paratenic","2larv","int","yes",3.06175,0.70225,1.34901078815241,"2nd","incomplete"
"Lueheia inscripta","acanthocephalan",2,3,2.5,3,"no","adult","def","yes",11.2,2.02,35.9771420777919,"3rd","incomplete"
"Macracanthorhynchus catulinus","acanthocephalan",2,3,2.5,0,NA,"embryo",NA,"yes",0.07,0.03,0.00109955742875643,"propagule","incomplete"
"Macracanthorhynchus catulinus","acanthocephalan",2,3,2.5,1,"no","1larv","int","yes",4.3,1.13,4.03192472400612,"1st","incomplete"
"Macracanthorhynchus catulinus","acanthocephalan",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Macracanthorhynchus catulinus","acanthocephalan",2,3,2.5,3,"no","adult","def","yes",55,NA,NA,"3rd","incomplete"
"Macracanthorhynchus hirudinaceous","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Macracanthorhynchus hirudinaceous","acanthocephalan",2,2,2,1,"no","1larv","int","no",3.0755,1.153,3.59502581774751,"1st","incomplete"
"Macracanthorhynchus hirudinaceous","acanthocephalan",2,2,2,2,"no","adult","def","no",296.65,4.36,3834.05094523309,"2nd","incomplete"
"Macracanthorhynchus ingens","acanthocephalan",2,3,2.5,0,NA,"embryo",NA,"yes",0.0625,0.0255,0.000834485548609789,"propagule","complete"
"Macracanthorhynchus ingens","acanthocephalan",2,3,2.5,1,"no","1larv","int","yes",2.75,0.975,2.05320260496917,"1st","complete"
"Macracanthorhynchus ingens","acanthocephalan",2,3,2.5,2,"paratenic","2larv","int","yes",3.596,1.163,3.82004952965209,"2nd","complete"
"Macracanthorhynchus ingens","acanthocephalan",2,3,2.5,3,"no","adult","def","yes",247.41666665,6.5,8013.71198545544,"3rd","complete"
"Mastophorus muris","nematode",2,2,2,0,NA,"embryo",NA,"no",0.232,0.01,1.82212373908208e-05,"propagule","complete"
"Mastophorus muris","nematode",2,2,2,1,"no","1larv","int","no",1.04,0.0525,0.0022478340873361,"1st","complete"
"Mastophorus muris","nematode",2,2,2,2,"no","adult","def","no",66.32,1.67534,144.928346435535,"2nd","complete"
"Mathevolepis skrjabini","cestode",2,2,2,0,NA,"embryo",NA,"no",0.0195,0.0195,0.000199098434421253,"propagule","incomplete"
"Mathevolepis skrjabini","cestode",2,2,2,1,"no","1larv","int","no",0.136,0.118,0.0084027131508015,"1st","incomplete"
"Mathevolepis skrjabini","cestode",2,2,2,2,"no","adult","def","no",3.8,NA,NA,"2nd","incomplete"
"Mathevotaenia deserti","cestode",2,2,2,0,NA,"embryo",NA,"no",0.041,0.0305,0.000654760268885673,"propagule","complete"
"Mathevotaenia deserti","cestode",2,2,2,1,"no","1larv","int","no",0.1725,0.161,0.0145416469953038,"1st","complete"
"Mathevotaenia deserti","cestode",2,2,2,2,"no","adult","def","no",200,1.535,307,"2nd","complete"
"Mathevotaenia symmetrica","cestode",2,2,2,0,NA,"embryo",NA,"no",0.034125,0.0255,0.000413904832110455,"propagule","complete"
"Mathevotaenia symmetrica","cestode",2,2,2,1,"no","1larv","int","no",0.18,0.141,0.0132889369246848,"1st","complete"
"Mathevotaenia symmetrica","cestode",2,2,2,2,"no","adult","def","no",125.416666675,2.5,366.944444466667,"2nd","complete"
"Maupasina weissi","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Maupasina weissi","nematode",2,2,2,1,"no","1larv","int","no",0.85,0.125,0.0104310693576224,"1st","incomplete"
"Maupasina weissi","nematode",2,2,2,2,"no","adult","def","no",21.15,0.505,4.31630483260172,"2nd","incomplete"
"Mediorhynchus centurorum","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.0352,0.0173,0.00031885071038834,"propagule","complete"
"Mediorhynchus centurorum","acanthocephalan",2,2,2,1,"no","1larv","int","no",0.96,0.45,0.152681402964464,"1st","complete"
