Parasite.species,Parasite.group,minLCL,maxLCL,midLCL,Host.no,Facultative,Stage,Def.int,Flex.cycle,Length,Width,Biovolume,Host.nofac,trans_to_int,trans_to_def,trans_to_fac,trans_to_human,complete_size
Ascarophis filiformis,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis filiformis,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Ascarophis filiformis,nematode,2,2,2,2,no,adult,def,no,25.1,0.16,0.504665444,2nd,no,no,no,no,incomplete
Ascarophis marina,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis marina,nematode,2,2,2,1,no,1larv,int,no,10.705,0.06,0.030267674,1st,no,yes,no,no,incomplete
Ascarophis marina,nematode,2,2,2,2,no,adult,def,no,38.3,0.16,0.770067191,2nd,no,no,no,no,incomplete
Ascarophis morrhuae,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis morrhuae,nematode,2,2,2,1,no,1larv,int,no,7.5,0.08,0.037699112,1st,no,yes,no,no,incomplete
Ascarophis morrhuae,nematode,2,2,2,2,no,adult,def,no,9.6,0.09125,0.065404523,2nd,no,no,no,no,incomplete
Ascarophis pacificus,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Ascarophis pacificus,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,all missing
Ascarophis pacificus,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,all missing
Ascarophis sp. A,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis sp. A,nematode,2,2,2,1,no,1larv,int,no,8,0.156,0.152907598,1st,no,yes,no,no,incomplete
Ascarophis sp. A,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Ascarophis sp. B,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis sp. B,nematode,2,2,2,1,no,1larv,int,no,3.7,0.078,0.017679941,1st,no,yes,no,no,incomplete
Ascarophis sp. B,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Ascarophis sp. C,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis sp. C,nematode,2,2,2,1,no,1larv,int,no,8.5,0.074,0.036557143,1st,no,yes,no,no,incomplete
Ascarophis sp. C,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Ascarophis sp. D,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis sp. D,nematode,2,2,2,1,no,1larv,int,no,17,0.126,0.211972681,1st,no,yes,no,no,incomplete
Ascarophis sp. D,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Ascarophis sp. E,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis sp. E,nematode,2,2,2,1,no,1larv,int,no,7.41,0.138,0.110832279,1st,no,yes,no,no,incomplete
Ascarophis sp. E,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Ascarophis sp. F,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ascarophis sp. F,nematode,2,2,2,1,no,1larv,int,no,7.215,0.165,0.154274485,1st,no,yes,no,no,incomplete
Ascarophis sp. F,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Ascarops strongylina,nematode,2,3,2.5,0,NA,embryo,NA,yes,0.1125,0.0075,4.97E-06,propagule,yes,no,no,no,complete
Ascarops strongylina,nematode,2,3,2.5,1,no,1larv,int,yes,2.218,0.0792,0.01098789,1st,yes,no,yes,no,complete
Ascarops strongylina,nematode,2,3,2.5,2,paratenic,2larv,int,yes,2.2,0.085,0.012483904,2nd,no,yes,no,no,complete
Ascarops strongylina,nematode,2,3,2.5,3,no,adult,def,yes,13.307,0.356,1.324555115,3rd,no,no,no,no,complete
Aspersentis megarhynchus,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Aspersentis megarhynchus,acanthocephalan,2,2,2,1,no,1larv,int,no,2.05,0.725,0.840628344,1st,no,yes,no,no,incomplete
Aspersentis megarhynchus,acanthocephalan,2,2,2,2,no,adult,def,no,7.55,1.6,15.1801757,2nd,no,no,no,no,incomplete
Aspiculuris tetraptera,nematode,1,1,1,0,NA,embryo,NA,no,NA,NA,NA,propagule,no,yes,no,no,incomplete
Aspiculuris tetraptera,nematode,1,1,1,1,no,adult,def,no,4.0875,0.15,0.079521564,1st,no,no,no,no,incomplete
Atactorhynchus verecundus,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.027,0.011,0.000155509,propagule,yes,no,no,no,complete
Atactorhynchus verecundus,acanthocephalan,2,2,2,1,no,1larv,int,no,0.35,0.0495,0.000673548,1st,no,yes,no,no,complete
Atactorhynchus verecundus,acanthocephalan,2,2,2,2,no,adult,def,no,7.8,0.58,2.060821949,2nd,no,no,no,no,complete
Atractolytocestus sagittatus,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Atractolytocestus sagittatus,cestode,2,2,2,1,no,1larv,int,no,1.765,0.26,0.093708996,1st,no,yes,no,no,incomplete
Atractolytocestus sagittatus,cestode,2,2,2,2,no,adult,def,no,12.725,1.6825,21.330375,2nd,no,no,no,no,incomplete
Atriotaenia procyonis,cestode,2,2,2,0,NA,embryo,NA,no,0.0355,0.0285,0.000529751,propagule,yes,no,no,no,complete
Atriotaenia procyonis,cestode,2,2,2,1,no,1larv,int,no,0.246,0.198,0.025503449,1st,no,yes,no,no,complete
Atriotaenia procyonis,cestode,2,2,2,2,no,adult,def,no,101.5,2.3,233.45,2nd,no,no,no,no,complete
Austramphilina elongata,cestode,2,2,2,0,NA,free larva,NA,no,0.186,0.065,0.006330309,propagule,yes,no,no,no,incomplete
Austramphilina elongata,cestode,2,2,2,1,no,1larv,int,no,2,NA,NA,1st,no,yes,no,no,incomplete
Austramphilina elongata,cestode,2,2,2,2,no,adult,def,no,62.66666667,9.166666667,574.4444445,2nd,no,no,no,no,incomplete
Avioserpens galliardi,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.54,0.018,0.000137413,propagule,yes,no,no,no,incomplete
Avioserpens galliardi,nematode,2,3,2.5,1,no,1larv,int,yes,0.48,NA,NA,1st,yes,no,yes,no,incomplete
Avioserpens galliardi,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Avioserpens galliardi,nematode,2,3,2.5,3,no,adult,def,yes,210,0.68,76.26530326,3rd,no,no,no,no,incomplete
Avioserpens mosgovoyi,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.475,NA,NA,propagule,yes,no,no,no,incomplete
Avioserpens mosgovoyi,nematode,2,3,2.5,1,no,1larv,int,yes,0.43125,0.02225,0.000168579,1st,yes,no,yes,no,incomplete
Avioserpens mosgovoyi,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Avioserpens mosgovoyi,nematode,2,3,2.5,3,no,adult,def,yes,1005,0.9,639.3533749,3rd,no,no,no,no,incomplete
Avioserpens taiwana,nematode,2,2,2,0,NA,free larva,NA,no,0.445,0.018075,0.000118835,propagule,yes,no,no,no,incomplete
Avioserpens taiwana,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Avioserpens taiwana,nematode,2,2,2,2,no,adult,def,no,170,0.775,85.45132018,2nd,no,no,no,no,incomplete
Avitellina arctica,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Avitellina arctica,cestode,2,2,2,1,no,1larv,int,no,0.1075,NA,NA,1st,no,yes,no,no,incomplete
Avitellina arctica,cestode,2,2,2,2,no,adult,def,no,2700,2,5400,2nd,no,no,no,no,incomplete
Avitellina centripunctata,cestode,2,2,2,0,NA,embryo,NA,no,0.019,0.019,0.000189019,propagule,yes,no,no,no,incomplete
Avitellina centripunctata,cestode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Avitellina centripunctata,cestode,2,2,2,2,no,adult,def,no,2092.5,2.25,4622.5,2nd,no,no,no,no,incomplete
Avitellina lahorea,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Avitellina lahorea,cestode,2,2,2,1,no,1larv,int,no,0.1889,0.1522,0.015053768,1st,no,yes,no,no,incomplete
Avitellina lahorea,cestode,2,2,2,2,no,adult,def,no,1829,1.38,2524.02,2nd,no,no,no,no,incomplete
Baruscapillaria obsignata,nematode,1,1,1,0,NA,embryo,NA,no,0.14425,0.009,8.68E-06,propagule,no,yes,no,no,complete
Baruscapillaria obsignata,nematode,1,1,1,1,no,adult,def,no,12.56125,0.064863636,0.044500319,1st,no,no,no,no,complete
Batrachocamallanus slomei,nematode,2,2,2,0,NA,free larva,NA,no,0.25,0.014,3.85E-05,propagule,yes,no,no,no,incomplete
Batrachocamallanus slomei,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Batrachocamallanus slomei,nematode,2,2,2,2,no,adult,def,no,1.8425,0.164625,0.043718279,2nd,no,no,no,no,incomplete
Baylisascaris columnaris,nematode,1,2,1.5,0,NA,embryo,NA,yes,0.319166667,0.02,0.0001076,propagule,yes,no,yes,no,incomplete
Baylisascaris columnaris,nematode,1,2,1.5,1,paratenic,1larv,int,yes,1.194666667,NA,NA,1st,no,yes,no,no,incomplete
Baylisascaris columnaris,nematode,1,2,1.5,2,no,adult,def,yes,120,NA,NA,2nd,no,no,no,no,incomplete
Baylisascaris devosi,nematode,2,2,2,0,NA,embryo,NA,no,0.254,0.014,3.91E-05,propagule,yes,no,no,no,complete
Baylisascaris devosi,nematode,2,2,2,1,no,1larv,int,no,1.5185,0.055,0.003607697,1st,no,yes,no,no,complete
Baylisascaris devosi,nematode,2,2,2,2,no,adult,def,no,177,2.255,850.67286,2nd,no,no,no,no,complete
Baylisascaris laevis,nematode,1,1,1,0,NA,embryo,NA,no,0.25,0.02,7.85E-05,propagule,no,yes,no,no,complete
Baylisascaris laevis,nematode,1,1,1,1,no,adult,def,no,109.6666667,2.288333333,444.6840265,1st,no,no,no,no,complete
Baylisascaris potosis,nematode,1,2,1.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,yes,no,incomplete
Baylisascaris potosis,nematode,1,2,1.5,1,paratenic,1larv,int,yes,1.6,0.065,0.005309292,1st,no,yes,no,no,incomplete
Baylisascaris potosis,nematode,1,2,1.5,2,no,adult,def,yes,219,2.71,1263.201341,2nd,no,no,no,no,incomplete
Baylisascaris procyonis,nematode,1,2,1.5,0,NA,embryo,NA,yes,0.28,NA,NA,propagule,yes,no,yes,yes,incomplete
Baylisascaris procyonis,nematode,1,2,1.5,1,paratenic,1larv,int,yes,1.4655,0.07235,0.006597612,1st,no,yes,no,no,incomplete
Baylisascaris procyonis,nematode,1,2,1.5,2,no,adult,def,yes,210,NA,NA,2nd,no,no,no,no,incomplete
Baylisascaris schroederi,nematode,1,2,1.5,0,NA,embryo,NA,yes,0.2315,0.01475,3.96E-05,propagule,yes,no,yes,no,complete
Baylisascaris schroederi,nematode,1,2,1.5,1,paratenic,1larv,int,yes,0.8,0.0405,0.001030599,1st,no,yes,no,no,complete
Baylisascaris schroederi,nematode,1,2,1.5,2,no,adult,def,yes,125,2.6,663.6614481,2nd,no,no,no,no,complete
Baylisascaris tasmaniensis,nematode,2,2,2,0,NA,embryo,NA,no,0.224,0.0135,3.21E-05,propagule,yes,no,no,no,complete
Baylisascaris tasmaniensis,nematode,2,2,2,1,no,1larv,int,no,1.065,0.0455,0.001731659,1st,no,yes,no,no,complete
Baylisascaris tasmaniensis,nematode,2,2,2,2,no,adult,def,no,77,1.641,162.853752,2nd,no,no,no,no,complete
Baylisascaris transfuga,nematode,1,2,1.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,yes,no,incomplete
